Comp,Temp_Celsius,AW_ST_CMC,Pi_CMC,pC20,Area_min,source_doi,reference_doi,SMILES,method,CMC,Gamma_max,pCMC,C20,Molecular_Weight,InChI
C12Bn,25,29.23,43.27,5.86,1.75,10.1007/s11743-016-1795-x,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-],tensiometry,0.000256,9.51e-07,3.5917600346881504,1.3803842646028838e-06,411.07400000000007,"InChI=1S/C24H42N2O.ClH/c1-4-5-6-7-8-9-10-11-15-19-24(27)25-20-16-21-26(2,3)22-23-17-13-12-14-18-23;/h12-14,17-18H,4-11,15-16,19-22H2,1-3H3;1H"
C12Bn,40,29.03,40.47,6.18,2.51,10.1007/s11743-016-1795-x,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-],tensiometry,0.000204,6.62e-07,3.6903698325741012,6.606934480075964e-07,411.07400000000007,"InChI=1S/C24H42N2O.ClH/c1-4-5-6-7-8-9-10-11-15-19-24(27)25-20-16-21-26(2,3)22-23-17-13-12-14-18-23;/h12-14,17-18H,4-11,15-16,19-22H2,1-3H3;1H"
C12Bn,60,27.1,38.9,6.3,2.98,10.1007/s11743-016-1795-x,,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-],tensiometry,0.00011,5.57e-07,3.958607314841775,5.011872336272725e-07,411.07400000000007,"InChI=1S/C24H42N2O.ClH/c1-4-5-6-7-8-9-10-11-15-19-24(27)25-20-16-21-26(2,3)22-23-17-13-12-14-18-23;/h12-14,17-18H,4-11,15-16,19-22H2,1-3H3;1H"
C14Bn,25,32.31,40.19,6.17,2.2,10.1007/s11743-016-1795-x,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-],tensiometry,0.000108,7.559999999999999e-07,3.96657624451305,6.760829753919819e-07,439.12800000000016,"InChI=1S/C26H46N2O.ClH/c1-4-5-6-7-8-9-10-11-12-13-17-21-26(29)27-22-18-23-28(2,3)24-25-19-15-14-16-20-25;/h14-16,19-20H,4-13,17-18,21-24H2,1-3H3;1H"
C14Bn,40,31.33,38.17,6.83,3.19,10.1007/s11743-016-1795-x,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-],tensiometry,5.8e-05,5.21e-07,4.236572006437063,1.479108388168207e-07,439.12800000000016,"InChI=1S/C26H46N2O.ClH/c1-4-5-6-7-8-9-10-11-12-13-17-21-26(29)27-22-18-23-28(2,3)24-25-19-15-14-16-20-25;/h14-16,19-20H,4-13,17-18,21-24H2,1-3H3;1H"
C14Bn,60,30.65,35.35,7.0,3.72,10.1007/s11743-016-1795-x,,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-],tensiometry,4.6e-05,4.46e-07,4.337242168318426,1e-07,439.12800000000016,"InChI=1S/C26H46N2O.ClH/c1-4-5-6-7-8-9-10-11-12-13-17-21-26(29)27-22-18-23-28(2,3)24-25-19-15-14-16-20-25;/h14-16,19-20H,4-13,17-18,21-24H2,1-3H3;1H"
C16Bn,25,41.54,30.96,6.14,3.39,10.1007/s11743-016-1795-x,,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-],tensiometry,4.4999999999999996e-05,4.900000000000001e-07,4.346787486224656,7.244359600749906e-07,467.18200000000024,"InChI=1S/C28H50N2O.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-15-19-23-28(31)29-24-20-25-30(2,3)26-27-21-17-16-18-22-27;/h16-18,21-22H,4-15,19-20,23-26H2,1-3H3;1H"
C16Bn,40,36.33,33.17,7.1,4.01,10.1007/s11743-016-1795-x,,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-],tensiometry,1.4e-05,4.14e-07,4.853871964321762,7.943282347242822e-08,467.18200000000024,"InChI=1S/C28H50N2O.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-15-19-23-28(31)29-24-20-25-30(2,3)26-27-21-17-16-18-22-27;/h16-18,21-22H,4-15,19-20,23-26H2,1-3H3;1H"
C16Bn,60,33.75,32.25,7.22,4.33,10.1007/s11743-016-1795-x,,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1.[Cl-],tensiometry,1e-05,3.8300000000000003e-07,5.0,6.025595860743581e-08,467.18200000000024,"InChI=1S/C28H50N2O.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-15-19-23-28(31)29-24-20-25-30(2,3)26-27-21-17-16-18-22-27;/h16-18,21-22H,4-15,19-20,23-26H2,1-3H3;1H"
DTAB,25,,,,,10.1007/s11743-016-1795-x,10.1016/0021-9797(89)90428-1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,0.0146,,1.8356471442155629,,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
DTAB,40,,,,,10.1007/s11743-016-1795-x,10.1016/0021-9797(89)90428-1,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,0.0166,,1.779891911959945,,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
