identifier,AW_ST_CMC,CMC,Gamma_max,Area_min,source_doi,SMILES,reference_doi,Temp_Celsius,method,Molecular_Weight,InChI,pCMC
2a,29.0,1.3e-06,,,10.1016/j.carres.2013.07.003,CCCCCCCCCCCCCCSCCC(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,,25.0,tensiometry,464.66500000000053,"InChI=1S/C23H44O7S/c1-2-3-4-5-6-7-8-9-10-11-12-13-15-31-16-14-19(24)29-17-18-20(25)21(26)22(27)23(28)30-18/h18,20-23,25-28H,2-17H2,1H3/t18-,20-,21+,22+,23?/m1/s1",5.886056647693163
2b,28.5,6.3e-06,5.3e-06,3.1,10.1016/j.carres.2013.07.003,CCCCCCCCC(CCCCCCCC)SCCC(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,,25.0,tensiometry,506.7460000000006,"InChI=1S/C26H50O7S/c1-3-5-7-9-11-13-15-20(16-14-12-10-8-6-4-2)34-18-17-22(27)32-19-21-23(28)24(29)25(30)26(31)33-21/h20-21,23-26,28-31H,3-19H2,1-2H3/t21-,23-,24+,25+,26?/m1/s1",5.200659450546418
2c,45.0,1.6e-05,1.9e-06,8.7,10.1016/j.carres.2013.07.003,O=C(CCSCCCCCCCCCCCCCCSCCC(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,,25.0,tensiometry,730.936000000001,"InChI=1S/C32H58O14S2/c33-23(43-19-21-25(35)27(37)29(39)31(41)45-21)13-17-47-15-11-9-7-5-3-1-2-4-6-8-10-12-16-48-18-14-24(34)44-20-22-26(36)28(38)30(40)32(42)46-22/h21-22,25-32,35-42H,1-20H2/t21-,22-,25-,26-,27+,28+,29+,30+,31?,32?/m1/s1",4.795880017344075
2d,42.5,4e-06,2.8e-06,5.9,10.1016/j.carres.2013.07.003,CCCCCCCCCCCCC(CSCCC(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O)SCCC(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,,25.0,tensiometry,730.9360000000008,"InChI=1S/C32H58O14S2/c1-2-3-4-5-6-7-8-9-10-11-12-20(48-16-14-24(34)44-18-22-26(36)28(38)30(40)32(42)46-22)19-47-15-13-23(33)43-17-21-25(35)27(37)29(39)31(41)45-21/h20-22,25-32,35-42H,2-19H2,1H3/t20?,21-,22-,25-,26-,27+,28+,29+,30+,31?,32?/m1/s1",5.3979400086720375
