Surfactant,Temperature/ K,CMC/ mM,α,ΔGo/ Kcal/mol,source_doi,SMILES,reference_doi,method
C12E0TAB,278.15,15.7,0.23,-8.00,10.1007/BF01550555,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,conductometry
C12E0TAB,288.15,14.9,0.23,-8.33,10.1007/BF01550555,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,conductometry
C12E0TAB,293.15,14.7,0.24,-8.45,10.1007/BF01550555,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,conductometry
C12E0TAB,298.15,14.9,0.25,-8.53,10.1007/BF01550555,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,conductometry
C12E0TAB,303.15,14.9,0.25,-8.67,10.1007/BF01550555,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,conductometry
C12E0TAB,308.15,15.4,0.26,-8.73,10.1007/BF01550555,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,conductometry
C12E0TAB,318.15,16.2,0.32,-8.64,10.1007/BF01550555,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,conductometry
C12E0TAB,333.15,17.9,0.36,-8.73,10.1007/BF01550555,CCCCCCCCCCCC[N+](C)(C)C.[Br-],,conductometry
C12E1TAB,278.15,6.5,0.25,-8.75,10.1007/BF01550555,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E1TAB,288.15,6.3,0.25,-9.1,10.1007/BF01550555,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E1TAB,293.15,6.2,0.26,-9.22,10.1007/BF01550555,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E1TAB,298.15,6.3,0.26,-9.36,10.1007/BF01550555,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E1TAB,303.15,6.4,0.27,-9.45,10.1007/BF01550555,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E1TAB,308.15,6.6,0.28,-9.52,10.1007/BF01550555,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E1TAB,318.15,7.1,0.32,-9.52,10.1007/BF01550555,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E1TAB,333.15,8.1,0.37,-9.53,10.1007/BF01550555,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E2TAB,278.15,4.2,0.25,-9.19,10.1007/BF01550555,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E2TAB,288.15,3.8,0.27,-9.51,10.1007/BF01550555,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E2TAB,293.15,3.7,0.28,-9.63,10.1007/BF01550555,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E2TAB,298.15,3.7,0.28,-9.8,10.1007/BF01550555,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E2TAB,303.15,3.7,0.29,-9.89,10.1007/BF01550555,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E2TAB,308.15,3.8,0.3,-9.98,10.1007/BF01550555,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E2TAB,318.15,4,0.33,-10.07,10.1007/BF01550555,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E2TAB,333.15,4.6,0.38,-10.09,10.1007/BF01550555,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E3TAB,278.15,4,0.3,-8.96,10.1007/BF01550555,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E3TAB,288.15,3.6,0.32,-9.29,10.1007/BF01550555,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E3TAB,293.15,3.4,0.32,-9.49,10.1007/BF01550555,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E3TAB,298.15,3.4,0.32,-9.67,10.1007/BF01550555,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E3TAB,303.15,3.3,0.32,-9.85,10.1007/BF01550555,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E3TAB,308.15,3.3,0.32,-10.02,10.1007/BF01550555,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E3TAB,318.15,3.4,0.33,-10.23,10.1007/BF01550555,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C12E3TAB,333.15,3.7,0.35,-10.5,10.1007/BF01550555,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C10E2TAB,278.15,17.5,0.34,-7.4,10.1007/BF01550555,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C10E2TAB,288.15,16.2,0.33,-7.78,10.1007/BF01550555,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C10E2TAB,293.15,15.7,0.34,-7.9,10.1007/BF01550555,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C10E2TAB,298.15,15.5,0.35,-8,10.1007/BF01550555,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C10E2TAB,303.15,15.4,0.36,-8.09,10.1007/BF01550555,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C10E2TAB,308.15,15.4,0.36,-8.22,10.1007/BF01550555,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C10E2TAB,318.15,15.7,0.41,-8.21,10.1007/BF01550555,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C10E2TAB,333.15,17.3,0.45,-8.28,10.1007/BF01550555,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C14E2TAB,278.15,0.97,0.17,-11.08,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C14E2TAB,288.15,0.91,0.16,-11.6,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C14E2TAB,293.15,0.9,0.17,-11.75,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
