Surfactant,Temperature/ K,CMC/ mM,α,ΔGo/ Kcal/mol,source_doi,SMILES,reference_doi,method
C14E2SO4Na,298.15,0.86,0.30,-11.16,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C14E2SO4Na,303.15,0.89,0.31,-11.24,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C14E2SO4Na,308.15,0.92,0.32,-11.33,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C14E2SO4Na,313.15,0.99,0.33,-11.37,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C14E2SO4Na,323.15,1.09,0.34,-11.56,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C14E2SO4Na,333.15,1.15,0.36,-11.71,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C16E2SO4Na,283.15,0.24,0.24*),-12.22,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C16E2SO4Na,293.15,0.23,0.24*),-12.68,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C16E2SO4Na,298.15,0.22,0.25*),-12.86,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C16E2SO4Na,303.15,0.22,0.24*),-13.16,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C16E2SO4Na,313.15,0.23,0.26*),-13.45,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C16E2SO4Na,323.15,0.24,0.28*),-13.65,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C16E2SO4Na,333.15,0.25,0.30*),-13.85,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
