identifier,CMC,AW_ST_CMC,Pi_CMC,Area_min,Temp_Celsius,source_doi,SMILES,reference_doi,method,Molecular_Weight,InChI,Gamma_max,pCMC
1,0.000256,36.23,35.77,0.91,20.0,10.1007/s11743-017-1969-1,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)C/C=C/C[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-],,tensiometry,782.8760000000002,"InChI=1S/C38H76N4O2.2BrH/c1-7-9-11-13-15-17-19-21-23-29-37(43)39-31-27-35-41(3,4)33-25-26-34-42(5,6)36-28-32-40-38(44)30-24-22-20-18-16-14-12-10-8-2;;/h25-26H,7-24,27-36H2,1-6H3;2*1H/b26-25+;;",1.81e-06,3.5917600346881504
2,0.000361,38.12,33.88,1.05,20.0,10.1007/s11743-017-1969-1,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)C/C=C\C[N+](C)(C)CCCNC(=O)CCCCCCCCCCC.[Br-].[Br-],,tensiometry,782.8760000000002,"InChI=1S/C38H76N4O2.2BrH/c1-7-9-11-13-15-17-19-21-23-29-37(43)39-31-27-35-41(3,4)33-25-26-34-42(5,6)36-28-32-40-38(44)30-24-22-20-18-16-14-12-10-8-2;;/h25-26H,7-24,27-36H2,1-6H3;2*1H/b26-25-;;",1.6000000000000001e-06,3.4424927980943423
3,0.000158,35.67,36.33,0.86,20.0,10.1007/s11743-017-1969-1,CCCCCCCC/C=C\CCCCCCC(=O)NCCC[N+](C)(C)C/C=C/C[N+](C)(C)CCCNC(=O)CCCCCC/C=C\CCCCCCCC.[Br-].[Br-],,tensiometry,919.1139999999997,"InChI=1S/C48H92N4O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-39-47(53)49-41-37-45-51(3,4)43-35-36-44-52(5,6)46-38-42-50-48(54)40-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h21-24,35-36H,7-20,25-34,37-46H2,1-6H3;2*1H/b23-21-,24-22-,36-35+;;",1.92e-06,3.8013429130455774
4,0.000291,37.23,34.77,1.01,20.0,10.1007/s11743-017-1969-1,CCCCCCCC=CCCCCCCC(=O)NCCC[N+](C)(C)C/C=C\C[N+](C)(C)CCCNC(=O)CCCCCC/C=C\CCCCCCCC.[Br-].[Br-],,tensiometry,905.0869999999996,"InChI=1S/C47H90N4O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-39-47(53)49-41-37-45-51(5,6)43-35-34-42-50(3,4)44-36-40-48-46(52)38-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h20-23,34-35H,7-19,24-33,36-45H2,1-6H3;2*1H/b22-20?,23-21-,35-34-;;",1.64e-06,3.5361070110140926
5,0.000105,32.92,39.08,0.73,20.0,10.1007/s11743-017-1969-1,CCCCCCCC/C=C\CCCCCCC(=O)NCCC[N+](C)(C)CC[N+](C)(C)CCCNC(=O)CCCCCC/C=C\CCCCCCCC.[Br-].[Br-],,tensiometry,893.0759999999997,"InChI=1S/C46H90N4O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-45(51)47-39-35-41-49(3,4)43-44-50(5,6)42-36-40-48-46(52)38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h21-24H,7-20,25-44H2,1-6H3;2*1H/b23-21-,24-22-;;",2.26e-06,3.9788107009300617
6,7.7e-05,30.34,41.66,0.7,20.0,10.1007/s11743-017-1969-1,CCCCCCCC/C=C\CCCCCCC(=O)NCCC[N+](C)(C)CCCC[N+](C)(C)CCCNC(=O)CCCCCC/C=C\CCCCCCCC.[Br-].[Br-],,tensiometry,921.1299999999997,"InChI=1S/C48H94N4O2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-39-47(53)49-41-37-45-51(3,4)43-35-36-44-52(5,6)46-38-42-50-48(54)40-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h21-24H,7-20,25-46H2,1-6H3;2*1H/b23-21-,24-22-;;",2.38e-06,4.113509274827518
